timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
5111924240,5111924000,0.0,0.0,-0.001
5111925491,5111925249,0.0,0.0,-0.001
5111931775,5111931491,0.0,0.0,-0.001
5111937967,5111937733,0.0,0.0,-0.001
5111940487,5111940236,0.0,0.0,-0.001
5111944214,5111943975,0.0,0.0,-0.001
5111951708,5111951466,0.0,0.0,-0.001
5111955451,5111955211,0.0,0.0,-0.001
5111961694,5111961454,0.0,0.0,-0.001
5111965447,5111965199,0.0,0.0,-0.001
5111972933,5111972689,0.0,0.0,-0.001
5112014123,5112013888,0.0,0.0,-0.001
5112021620,5112021378,0.0,0.0,-0.001
5112025382,5112025124,0.0,0.0,-0.001
5112032850,5112032615,0.0,0.0,-0.001
5112035347,5112035111,0.0,0.0,-0.001
5112042844,5112042602,0.0,0.0,-0.001
5112045352,5112045099,0.0,0.0,-0.001
5112049084,5112048844,0.0,0.0,-0.001
5112056590,5112056336,0.0,0.0,-0.001
5112061570,5112061328,0.0,0.0,-0.001
5112066562,5112066322,0.0,0.0,-0.001
5112071556,5112071316,0.0,0.0,-0.001
5112077789,5112077558,0.0,0.0,-0.001
5112081547,5112081303,0.0,0.0,-0.001
5112084042,5112083800,0.0,0.0,-0.001
5112091534,5112091291,0.0,0.0,-0.001
5112095281,5112095036,0.0,0.0,-0.001
5112101516,5112101278,0.0,0.0,-0.001
5112105276,5112105032,0.0,0.0,-0.001
5112112756,5112112514,0.0,0.0,-0.001
5112116513,5112116271,0.0,0.0,-0.001
5112118993,5112118759,0.0,0.0,-0.001
5112126504,5112126247,0.0,0.0,-0.001
5112131489,5112131241,0.0,0.0,-0.001
5112136487,5112136234,0.0,0.0,-0.001
5112141483,5112141228,0.0,0.0,-0.001
5112147700,5112147470,0.0,0.0,-0.001
5112151466,5112151216,0.0,0.0,-0.001
5112153949,5112153712,0.0,0.0,-0.001
5112161444,5112161203,0.0,0.0,-0.001
5112165183,5112164948,0.0,0.0,-0.001
5112171433,5112171191,0.0,0.0,-0.001
5112175174,5112174936,0.0,0.0,-0.001
5112182669,5112182429,0.0,0.0,-0.001
5112186431,5112186172,0.0,0.0,-0.001
5112188906,5112188670,0.0,0.0,-0.001
5112196401,5112196159,0.0,0.0,-0.001
5112201393,5112201153,0.0,0.0,-0.001
5112206394,5112206147,0.0,0.0,-0.001
5112211384,5112211141,0.0,0.0,-0.001
5112217612,5112217382,0.0,0.0,-0.001
5112221370,5112221128,0.0,0.0,-0.001
5112223858,5112223625,0.0,0.0,-0.001
5112231363,5112231116,0.0,0.0,-0.001
5112235093,5112234860,0.0,0.0,-0.001
5112242594,5112242352,0.0,0.0,-0.001
5112245085,5112244848,0.0,0.0,-0.001
5112252580,5112252339,0.0,0.0,-0.001
5112256344,5112256084,0.0,0.0,-0.001
5112261333,5112261078,0.0,0.0,-0.001
5112266328,5112266072,0.0,0.0,-0.001
5112271319,5112271065,0.0,0.0,-0.001
5112276307,5112276059,0.0,0.0,-0.001
5112281312,5112281053,0.0,0.0,-0.001
5112287530,5112287295,0.0,0.0,-0.001
5112291299,5112291050,0.0,0.0,-0.001
5112293776,5112293537,0.0,0.0,-0.001
5112301279,5112301028,0.0,0.0,-0.001
5112305018,5112304773,0.0,0.0,-0.001
5112312504,5112312264,0.0,0.0,-0.001
5112314991,5112314760,0.0,0.0,-0.001
5112322549,5112322252,0.0,0.0,-0.001
5112326257,5112325997,0.0,0.0,-0.001
5112329973,5112329742,0.0,0.0,-0.001
5112336219,5112335984,0.0,0.0,-0.001
5112341218,5112340978,0.0,0.0,-0.001
5112347474,5112347226,0.0,0.0,-0.001
5112351208,5112350965,0.0,0.0,-0.001
5112357450,5112357207,0.0,0.0,-0.001
5112361194,5112360953,0.0,0.0,-0.001
5112364953,5112364698,0.0,0.0,-0.001
5112371182,5112370940,0.0,0.0,-0.001
5112374916,5112374686,0.0,0.0,-0.001
5112382424,5112382176,0.0,0.0,-0.001
5112384956,5112384673,0.0,0.0,-0.001
5112392402,5112392167,0.0,0.0,-0.001
5112396149,5112395909,0.0,0.0,-0.001
5112401154,5112400903,0.0,0.0,-0.001
5112406201,5112405900,0.0,0.0,-0.001
5112411127,5112410890,0.0,0.0,-0.001
5112417372,5112417132,0.0,0.0,-0.001
5112421192,5112420882,0.0,0.0,-0.001
5112427360,5112427120,0.0,0.0,-0.001
5112431107,5112430871,0.0,0.0,-0.001
5112434844,5112434610,0.0,0.0,-0.001
5112441095,5112440853,0.0,0.0,-0.001
5112444826,5112444598,0.0,0.0,-0.001
5112452322,5112452088,0.0,0.0,-0.001
5112456074,5112455833,0.0,0.0,-0.001
5112462318,5112462077,0.0,0.0,-0.001
5112466131,5112465824,0.0,0.0,-0.001
5112472306,5112472064,0.0,0.0,-0.001
5112476050,5112475809,0.0,0.0,-0.001
5112479801,5112479554,0.0,0.0,-0.001
5112487288,5112487045,0.0,0.0,-0.001
5112491036,5112490790,0.0,0.0,-0.001
5112497278,5112497032,0.0,0.0,-0.001
5112501019,5112500779,0.0,0.0,-0.001
5112504757,5112504522,0.0,0.0,-0.001
5112511067,5112510766,0.0,0.0,-0.001
5112514747,5112514510,0.0,0.0,-0.001
5112522244,5112522000,0.0,0.0,-0.001
5112524739,5112524499,0.0,0.0,-0.001
5112532231,5112531989,0.0,0.0,-0.001
5112535980,5112535734,0.0,0.0,-0.001
5112541044,5112540727,0.0,0.0,-0.001
5112545964,5112545721,0.0,0.0,-0.001
5112552203,5112551964,0.0,0.0,-0.001
5112557197,5112556957,0.0,0.0,-0.001
5112560964,5112560704,0.0,0.0,-0.001
5112567185,5112566944,0.0,0.0,-0.001
5112570979,5112570690,0.0,0.0,-0.001
5112574675,5112574435,0.0,0.0,-0.001
5112580934,5112580677,0.0,0.0,-0.001
5112584656,5112584423,0.0,0.0,-0.001
5112592149,5112591913,0.0,0.0,-0.001
5112595963,5112595658,0.0,0.0,-0.001
5112602147,5112601901,0.0,0.0,-0.001
5112605886,5112605646,0.0,0.0,-0.001
5112610894,5112610640,0.0,0.0,-0.001
5112615926,5112615633,0.0,0.0,-0.001
5112620868,5112620627,0.0,0.0,-0.001
5112627133,5112626872,0.0,0.0,-0.001
5112630907,5112630615,0.0,0.0,-0.001
5112637092,5112636857,0.0,0.0,-0.001
5112640846,5112640602,0.0,0.0,-0.001
5112644591,5112644347,0.0,0.0,-0.001
5112650836,5112650590,0.0,0.0,-0.001
5112654583,5112654335,0.0,0.0,-0.001
5112662077,5112661825,0.0,0.0,-0.001
5112665812,5112665572,0.0,0.0,-0.001
5112672068,5112671813,0.0,0.0,-0.001
5112675833,5112675558,0.0,0.0,-0.001
5112680793,5112680552,0.0,0.0,-0.001
5112685782,5112685546,0.0,0.0,-0.001
5112690823,5112690540,0.0,0.0,-0.001
5112697012,5112696782,0.0,0.0,-0.001
5112700770,5112700527,0.0,0.0,-0.001
5112707011,5112706769,0.0,0.0,-0.001
5112710761,5112710515,0.0,0.0,-0.001
5112714522,5112714271,0.0,0.0,-0.001
5112722016,5112721750,0.0,0.0,-0.001
5112724509,5112724248,0.0,0.0,-0.001
5112731973,5112731738,0.0,0.0,-0.001
5112735748,5112735484,0.0,0.0,-0.001
5112740728,5112740477,0.0,0.0,-0.001
5112750746,5112750465,0.0,0.0,-0.001
5112753194,5112752961,0.0,0.0,-0.001
5112756953,5112756707,0.0,0.0,-0.001
5112760686,5112760452,0.0,0.0,-0.001
5112766938,5112766694,0.0,0.0,-0.001
5112770673,5112770439,0.0,0.0,-0.001
5112776926,5112776681,0.0,0.0,-0.001
5112784409,5112784172,0.0,0.0,-0.001
5112788177,5112787917,0.0,0.0,-0.001
5112791903,5112791662,0.0,0.0,-0.001
5112798133,5112797905,0.0,0.0,-0.001
5112801880,5112801650,0.0,0.0,-0.001
5112810653,5112810389,0.0,0.0,-0.001
5112811890,5112811644,0.0,0.0,-0.001
5112819363,5112819128,0.0,0.0,-0.001
5112823105,5112822873,0.0,0.0,-0.001
5112826853,5112826619,0.0,0.0,-0.001
5112833121,5112832861,0.0,0.0,-0.001
5112836834,5112836606,0.0,0.0,-0.001
5112844340,5112844097,0.0,0.0,-0.001
5112846820,5112846594,0.0,0.0,-0.001
5112854317,5112854085,0.0,0.0,-0.001
5112858063,5112857830,0.0,0.0,-0.001
5112861809,5112861575,0.0,0.0,-0.001
5112868051,5112867817,0.0,0.0,-0.001
5112871797,5112871562,0.0,0.0,-0.001
5112879301,5112879053,0.0,0.0,-0.001
5112881796,5112881558,0.0,0.0,-0.001
5112890526,5112890289,0.0,0.0,-0.001
5112893038,5112892786,0.0,0.0,-0.001
5112896758,5112896531,0.0,0.0,-0.001
5112903003,5112902773,0.0,0.0,-0.001
5112906747,5112906518,0.0,0.0,-0.001
5112914245,5112914009,0.0,0.0,-0.001
5112917983,5112917754,0.0,0.0,-0.001
