timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7],control[8],control[9],control[10],control[11],reversible_flags
6435992377,6435992097,0.0019999982,1.7659446e-09,0.0019999985,9.38909e-12,nan,nan,nan,nan,nan,nan,nan,nan,0
6435993628,6435993345,0.0020000003,4.85379e-10,0.001999998,9.386086e-12,nan,nan,nan,nan,nan,nan,nan,nan,0
6435997381,6435997091,0.0020000003,1.9752264e-11,0.0020000003,9.351566e-12,nan,nan,nan,nan,nan,nan,nan,nan,0
6436004857,6436004581,0.0019999987,2.9299232e-09,0.0019999994,9.56373e-12,nan,nan,nan,nan,nan,nan,nan,nan,0
6436008635,6436008334,0.0020000022,1.4166447e-09,0.001999997,9.442979e-12,nan,nan,nan,nan,nan,nan,nan,nan,0
6436016102,6436015818,0.0019999985,1.5038367e-09,0.001999999,9.5624324e-12,nan,nan,nan,nan,nan,nan,nan,nan,0
6436018595,6436018314,0.0020000006,0.0,0.0019999968,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
6436022357,6436022062,0.0019999985,1.8235624e-09,0.0019999985,9.978927e-12,nan,nan,nan,nan,nan,nan,nan,nan,0
6436029826,6436029550,0.0020000022,2.6958142e-09,0.0019999957,1.0841959e-11,nan,nan,nan,nan,nan,nan,nan,nan,0
6436032333,6436032048,0.0020000008,0.0,0.0020000008,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
6436039812,6436039538,0.0020000003,0.0,0.0020000003,5.195601e-12,nan,nan,nan,nan,nan,nan,nan,nan,0
6436043558,6436043283,0.0020000003,4.7695653e-11,0.0020000003,1.0512006e-11,nan,nan,nan,nan,nan,nan,nan,nan,0
6436051066,6436050774,0.002000002,1.1826095e-09,0.0019999973,1.0647578e-11,nan,nan,nan,nan,nan,nan,nan,nan,0
6436053553,6436053271,0.0020000022,0.0,0.0019999985,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
6436057296,6436057016,0.0020000003,1.9335383e-10,0.0019999985,1.0372984e-11,nan,nan,nan,nan,nan,nan,nan,nan,0
6436064783,6436064507,0.0020000003,1.0663065e-09,0.0019999994,1.0535241e-11,nan,nan,nan,nan,nan,nan,nan,nan,0
6436067288,6436067004,0.002,3.674406e-10,0.0019999999,1.090918e-11,nan,nan,nan,nan,nan,nan,nan,nan,0
6436076032,6436075743,0.0020000003,0.0,0.0020000003,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
6436078513,6436078240,0.0020000022,2.752022e-09,0.0019999957,1.2841932e-11,nan,nan,nan,nan,nan,nan,nan,nan,0
6436086012,6436085731,0.0020000027,0.0,0.0019999985,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
6436088509,6436088227,0.0020000003,2.2276456e-09,0.0019999999,1.33493026e-11,nan,nan,nan,nan,nan,nan,nan,nan,0
6436092254,6436091972,0.0020000006,0.0,0.0020000008,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
6436099759,6436099463,0.0020000003,0.0,0.0020000003,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
6436103496,6436103209,0.002000002,1.296319e-09,0.001999997,1.3353265e-11,nan,nan,nan,nan,nan,nan,nan,nan,0
6436109722,6436109451,0.0020000006,0.0,0.0020000006,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
6436113473,6436113196,0.0020000003,3.0738473e-10,0.0019999999,1.2757413e-11,nan,nan,nan,nan,nan,nan,nan,nan,0
6436120983,6436120687,0.0020000003,0.0,0.0020000003,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
6436123489,6436123185,0.0020000006,0.0,0.0020000008,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
6436127213,6436126929,0.0020000003,9.488719e-10,0.0019999994,1.1554521e-11,nan,nan,nan,nan,nan,nan,nan,nan,0
6436134695,6436134419,0.0020000006,0.0,0.0020000008,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
6436138442,6436138165,0.0020000006,0.0,0.0019999987,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
6436145938,6436145656,0.002,8.9084085e-10,0.0019999994,1.1377888e-11,nan,nan,nan,nan,nan,nan,nan,nan,0
6436148424,6436148152,0.0019999964,3.0445881e-09,0.0019999992,1.1313962e-11,nan,nan,nan,nan,nan,nan,nan,nan,0
6436155937,6436155643,0.0020000006,0.0,0.0020000006,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
6436158422,6436158140,0.0020000006,0.0,0.002,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
6436162160,6436161885,0.0019999982,1.5606572e-09,0.0020000006,1.0949738e-11,nan,nan,nan,nan,nan,nan,nan,nan,0
6436169657,6436169376,0.0020000003,0.0,0.0020000006,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
6436173410,6436173122,0.0020000024,1.7058762e-09,0.0019999968,1.12497615e-11,nan,nan,nan,nan,nan,nan,nan,nan,0
6436179646,6436179368,0.0020000008,0.0,0.0020000008,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
6436183388,6436183110,0.0020000003,4.251718e-10,0.0019999999,1.1385681e-11,nan,nan,nan,nan,nan,nan,nan,nan,0
6436190901,6436190600,0.0020000003,0.0,0.0019999987,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
6436193379,6436193097,0.0020000006,0.0,0.0019999987,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
6436197150,6436196842,0.0019999982,1.7633712e-09,0.0020000003,1.1962433e-11,nan,nan,nan,nan,nan,nan,nan,nan,0
6436205870,6436205582,0.0020000006,0.0,0.0020000008,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
